id,location_folder,location_file
,CrefloDollar/2020/2020.12,CDM_CD1220_30
,CrefloDollar/2020/2020.12,CDM_CD1220_31
,CrefloDollar/2021/2021.01,CDM_CW0121_03
,CrefloDollar/2020/2020.12,CDM_CW1220_20
,CrefloDollar/2020/2020.12,CDM_CW1220_27
,CrefloDollar/2020/2020.12,CDM_CD1220_22
,CrefloDollar/2020/2020.12,CDM_CD1220_18
,CrefloDollar/2020/2020.12,CDM_CD1220_17
16259,GaitherHomecoming,TGHH_BEST_OF_SANDI_PATTY_SINGLE
16704,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
17317,GaitherHomecoming,TGHH_GVB_REUNITED_LIVE_2020
17764,GaitherHomecoming,TGHH_BRADLEY_WALKER_OLD_FASHIONED
18642,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
,JoyceMeyer/2022/2022.11,JMMEEL_1521_CAN_2_11082022cc_Legalized_V4
19799,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
,GaitherHomecoming,TGHH_WHITNEY_I_GO_ROCK_nocc
,CrefloDollar/2023/2023.04,CDM_CD0423_11
,CrefloDollar/2023/2023.04,CDM_CD0423_13
,CrefloDollar/2023/2023.04,CDM_CD0423_17
22030,GaitherHomecoming,TGHH_GEORGE_BEVERLY_SHEA_THEN_SINGS_MY_SOUL
,CrefloDollar/2023/2023.06,CDM_CD0623_02
22643,GaitherHomecoming,TGHH_BEST_OF_SANDI_PATTY_SINGLE
,CrefloDollar/2023/2023.08,CDM_CD0823_15
,CrefloDollar/2023/2023.08,CDM_CD0823_16
23049,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
23974,GaitherHomecoming,TGHH_GVB_LETS_JUST_PRIASE
25223,GaitherHomecoming,TGHH_BEST_OF_THE_BOOTH_BROTHERS
25282,GaitherHomecoming,TGHH_GEORGE_BEVERLY_SHEA_THEN_SINGS_MY_SOUL
,CrefloDollar/2024/2024.01,CDM_CD0124_19
,CrefloDollar/2024/2024.01,CDM_CD0124_29
,CrefloDollar/2024/2024.01,CDM_CD0124_30
,CrefloDollar/2024/2024.01,CDM_CD0124_31
,CrefloDollar/2024/2024.04,CDM_CD0424_19
,CrefloDollar/2024/2024.04,CDM_CD0424_22
,CrefloDollar/2024/2024.04,CDM_CW0424_21
,CrefloDollar/2024/2024.04,CDM_CD0424_23
,CrefloDollar/2024/2024.04,CDM_CD0424_24
,CrefloDollar/2024/2024.04,CDM_CD0424_25
,CrefloDollar/2024/2024.04,CDM_CD0424_26
,CrefloDollar/2024/2024.04,CDM_CD0424_29
,CrefloDollar/2024/2024.04,CDM_CD0424_30
,CrefloDollar/2024/2024.05,CDM_CD0524_01
,CrefloDollar/2024/2024.04,CDM_CW0424_28
27141,GaitherHomecoming,TGHH_GEORGE_BEVERLY_SHEA_THEN_SINGS_MY_SOUL
27118,GaitherHomecoming,TGHH_BEST_OF_SANDI_PATTY_SINGLE
,AmazingFacts,AFM_EG210
27884,GaitherHomecoming,TGHH_GVB_LETS_JUST_PRIASE
,Frontier,FRNT03-03
,Frontier,FRNT03-05
,Frontier,FRNT03-07
,Frontier,FRNT03-07
29384,GaitherHomecoming,TGHH_BEST_OF_JEFF_AND_SHERRI_EASTER
29770,GaitherHomecoming,TGHH_CATHEDRALS_FAREWELL_CELEBRATION
,BetterTogether/2024,BT23-1146
,GaitherHomecoming,TGHH_GOSPEL PIONEER REUNION
